 ,#,Signal,Date,Price,Exit Date/Time,ExitPrice,Profit/Loss,Open_x,Open_y
90,91.0,Buy,2019-02-13 00:00:00,46.84,2019-05-01 00:00:00,55.74,89000.0,46.29,55.54
91,92.0,Short,2019-05-01 00:00:00,55.74,2019-05-20 00:00:00,55.16,5800.0,55.54,55.04
92,93.0,Buy,2019-05-20 00:00:00,55.16,2019-05-23 00:00:00,49.86,-53000.0,55.04,53.26
93,94.0,Short,2019-05-23 00:00:00,49.86,2019-06-21 00:00:00,49.14,7200.0,53.26,48.97
94,95.0,Buy,2019-06-21 00:00:00,49.14,2019-07-18 00:00:00,46.99,-21500.0,48.97,48.29
95,96.0,Short,2019-07-18 00:00:00,46.99,2019-08-20 00:00:00,47.75,-7600.0,48.29,47.75
96,97.0,Buy,2019-08-20 00:00:00,47.75,2019-08-26 00:00:00,45.26,-24900.0,47.75,44.87
97,98.0,Short,2019-08-26 00:00:00,45.26,2019-08-29 00:00:00,48.33,-30700.0,44.87,47.5
98,99.0,Buy,2019-08-29 00:00:00,48.33,2019-09-04 00:00:00,47.88,-4500.0,47.5,45.54
99,100.0,Short,2019-09-04 00:00:00,47.88,2019-09-05 00:00:00,47.92,-400.0,45.54,47.57
100,101.0,Buy,2019-09-05 00:00:00,47.92,2019-09-26 00:00:00,48.27,3500.0,47.57,48.55
101,102.0,Short,2019-09-26 00:00:00,48.27,2019-10-23 00:00:00,47.73,5400.0,48.55,46.06
102,103.0,Buy,2019-10-23 00:00:00,47.73,2019-12-02 00:00:00,47.61,-1200.0,46.06,47.12
103,104.0,Short,2019-12-02 00:00:00,47.61,2019-12-05 00:00:00,50.08,-24700.0,47.12,50.01
104,105.0,Buy,2019-12-05 00:00:00,50.08,2020-01-10 00:00:00,50.76,6800.0,50.01,51.33
105,106.0,Short,2020-01-10 00:00:00,50.76,2020-02-20 00:00:00,45.32,54400.0,51.33,45.14
106,107.0,Buy,2020-02-20 00:00:00,45.32,2020-02-25 00:00:00,41.34,-39800.0,45.14,42.81
107,108.0,Short,2020-02-25 00:00:00,41.34,2020-05-06 00:00:00,9.39,319500.0,42.81,10.92
108,109.0,Buy,2020-05-06 00:00:00,9.39,2020-07-31 00:00:00,24.94,155500.0,10.92,25.01
109,110.0,Short,2020-07-31 00:00:00,24.94,2020-08-05 00:00:00,26.86,-19200.0,25.01,26.23
110,111.0,Buy,2020-08-05 00:00:00,26.86,2020-09-03 00:00:00,25.76,-11000.0,26.23,26.02
111,112.0,Short,2020-09-03 00:00:00,25.76,2020-09-28 00:00:00,24.74,10200.0,26.02,24.21
112,113.0,Buy,2020-09-28 00:00:00,24.74,2020-09-30 00:00:00,24.36,-3800.0,24.21,23.3
113,114.0,Short,2020-09-30 00:00:00,24.36,2020-10-08 00:00:00,25.33,-9700.0,23.3,24.13
114,115.0,Buy,2020-10-08 00:00:00,25.33,2020-10-26 00:00:00,22.42,-29100.0,24.13,23.55
115,116.0,Short,2020-10-26 00:00:00,22.42,2020-11-10 00:00:00,25.22,-28000.0,23.55,23.77
116,117.0,Buy,2020-11-10 00:00:00,25.22,2021-03-19 00:00:00,44.77,195500.0,23.77,42.98
117,118.0,Short,2021-03-19 00:00:00,44.77,2021-04-15 00:00:00,46.79,-20200.0,42.98,46.16
118,119.0,Buy,2021-04-15 00:00:00,46.79,2021-05-20 00:00:00,45.21,-15800.0,46.16,46.62
119,120.0,Short,2021-05-20 00:00:00,45.21,2021-05-25 00:00:00,49.34,-41300.0,46.62,49.29
120,121.0,Buy,2021-05-25 00:00:00,49.34,2021-07-16 00:00:00,55.36,60200.0,49.29,55.01
121,122.0,Short,2021-07-16 00:00:00,55.36,2021-07-29 00:00:00,57.42,-20600.0,55.01,56.2
122,123.0,Buy,2021-07-29 00:00:00,57.42,2021-08-04 00:00:00,51.95,-54700.0,56.2,54.12
123,124.0,Short,2021-08-04 00:00:00,51.95,2021-08-30 00:00:00,53.26,-13100.0,54.12,53.35
124,125.0,Buy,2021-08-30 00:00:00,53.26,2021-11-05 00:00:00,66.11,128500.0,53.35,64.21
125,126.0,Short,2021-11-05 00:00:00,66.11,2021-11-10 00:00:00,66.18,-700.0,64.21,69.37
126,127.0,Buy,2021-11-10 00:00:00,66.18,2021-11-12 00:00:00,65.63,-5500.0,69.37,66.05
127,128.0,Short,2021-11-12 00:00:00,65.63,2021-12-23 00:00:00,59.86,57700.0,66.05,59.1
128,129.0,Buy,2021-12-23 00:00:00,59.86,2022-03-16 00:00:00,83.46,236000.0,59.1,83.65
129,130.0,Short,2022-03-16 00:00:00,83.46,2022-03-22 00:00:00,99.02,-155600.0,83.65,100.66
130,131.0,Buy,2022-03-22 00:00:00,99.02,2022-04-01 00:00:00,89.02,-100000.0,100.66,90.98
131,132.0,Short,2022-04-01 00:00:00,89.02,2022-04-18 00:00:00,97.93,-89100.0,90.98,96.78
132,133.0,Buy,2022-04-18 00:00:00,97.93,2022-04-26 00:00:00,92.02,-59100.0,96.78,88.96
133,134.0,Short,2022-04-26 00:00:00,92.02,2022-04-29 00:00:00,95.01,-29900.0,88.96,95.49
134,135.0,Buy,2022-04-29 00:00:00,95.01,2022-06-21 00:00:00,104.83,98200.0,95.49,104.06
135,136.0,Short,2022-06-21 00:00:00,104.83,2022-08-24 00:00:00,93.64,111900.0,104.06,92.53
136,137.0,Buy,2022-08-24 00:00:00,93.64,2022-09-01 00:00:00,85.36,-82800.0,92.53,87.58
137,138.0,Short,2022-09-01 00:00:00,85.36,2022-10-05 00:00:00,86.96,-16000.0,87.58,85.57
138,139.0,Buy,2022-10-05 00:00:00,86.96,2022-10-19 00:00:00,84.65,-23100.0,85.57,83.04
139,140.0,Short,2022-10-19 00:00:00,84.65,2022-10-27 00:00:00,89.21,-45600.0,83.04,88.39
140,141.0,Buy,2022-10-27 00:00:00,89.21,2022-11-15 00:00:00,87.05,-21600.0,88.39,85.38
141,142.0,Short,2022-11-15 00:00:00,87.05,2022-12-22 00:00:00,78.17,88800.0,85.38,79.11
142,143.0,Buy,2022-12-22 00:00:00,78.17,2023-01-05 00:00:00,74.35,-38200.0,79.11,73.93
143,144.0,Short,2023-01-05 00:00:00,74.35,2023-01-13 00:00:00,80.54,-61900.0,73.93,79.0
144,145.0,Buy,2023-01-13 00:00:00,80.54,2023-02-01 00:00:00,76.82,-37200.0,79.0,79.47
145,146.0,Short,2023-02-01 00:00:00,76.82,2023-02-13 00:00:00,80.55,-37300.0,79.47,80.35
146,147.0,Buy,2023-02-13 00:00:00,80.55,2023-02-20 00:00:00,77.58,-29700.0,80.35,
147,148.0,Short,2023-02-20 00:00:00,77.58,2023-03-03 00:00:00,79.85,-22700.0,,78.06
148,149.0,Buy,2023-03-03 00:00:00,79.85,2023-03-10 00:00:00,76.85,-30000.0,78.06,75.82
