Date,
2008-06-08 00:00:00-05:00,0
2008-06-09 00:00:00-05:00,0.012209148
2008-06-10 00:00:00-05:00,0
2008-06-11 00:00:00-05:00,0
2008-06-12 00:00:00-05:00,0
2008-06-13 00:00:00-05:00,0
2008-06-14 00:00:00-05:00,0
2008-06-15 00:00:00-05:00,0
2008-06-16 00:00:00-05:00,0.005943536
2008-06-17 00:00:00-05:00,0
2008-06-18 00:00:00-05:00,0.012164393
2008-06-19 00:00:00-05:00,0
2008-06-20 00:00:00-05:00,-0.024723152
2008-06-21 00:00:00-05:00,0
2008-06-22 00:00:00-05:00,0
2008-06-23 00:00:00-05:00,0.005105184
2008-06-24 00:00:00-05:00,-0.017864962
2008-06-25 00:00:00-05:00,-0.007668301
2008-06-26 00:00:00-05:00,-0.021924701
2008-06-27 00:00:00-05:00,0.008268259
2008-06-28 00:00:00-05:00,0
2008-06-29 00:00:00-05:00,0
2008-06-30 00:00:00-05:00,0
2008-07-01 00:00:00-05:00,-0.022596811
2008-07-02 00:00:00-05:00,-0.01789876
2008-07-03 00:00:00-05:00,0.010061699
2008-07-04 00:00:00-05:00,-0.001503618
2008-07-05 00:00:00-05:00,0
2008-07-06 00:00:00-05:00,0
2008-07-07 00:00:00-05:00,-0.006776471
2008-07-08 00:00:00-05:00,-0.004737989
2008-07-09 00:00:00-05:00,-0.017899648
2008-07-10 00:00:00-05:00,-0.000581677
2008-07-11 00:00:00-05:00,-0.007954215
2008-07-12 00:00:00-05:00,0
2008-07-13 00:00:00-05:00,0
2008-07-14 00:00:00-05:00,0
2008-07-15 00:00:00-05:00,0
2008-07-16 00:00:00-05:00,-0.006649066
2008-07-17 00:00:00-05:00,0.029530466
2008-07-18 00:00:00-05:00,0.027153648
2008-07-19 00:00:00-05:00,0
2008-07-20 00:00:00-05:00,0
2008-07-21 00:00:00-05:00,-0.008749884
2008-07-22 00:00:00-05:00,-0.013146774
2008-07-23 00:00:00-05:00,-0.007802836
2008-07-24 00:00:00-05:00,0
2008-07-25 00:00:00-05:00,0.013426681
2008-07-26 00:00:00-05:00,0
2008-07-27 00:00:00-05:00,0
2008-07-28 00:00:00-05:00,-0.00870635
2008-07-29 00:00:00-05:00,0.004009547
2008-07-30 00:00:00-05:00,0.029666255
2008-07-31 00:00:00-05:00,0
2008-08-01 00:00:00-05:00,0.013851695
2008-08-02 00:00:00-05:00,0
2008-08-03 00:00:00-05:00,0
2008-08-04 00:00:00-05:00,0
2008-08-05 00:00:00-05:00,0
2008-08-06 00:00:00-05:00,0.017487932
