Date,Equity
9/10/2008,"$47,475.00 "
9/11/2008,"$43,875.00 "
9/15/2008,"$35,275.00 "
9/16/2008,"$37,875.00 "
9/17/2008,"$35,550.00 "
9/18/2008,"$37,575.00 "
9/22/2008,"$48,500.00 "
9/23/2008,"$49,850.00 "
9/26/2008,"$51,250.00 "
10/1/2008,"$51,625.00 "
10/3/2008,"$51,775.00 "
10/6/2008,"$46,625.00 "
10/9/2008,"$35,825.00 "
10/10/2008,"$40,837.50 "
10/13/2008,"$44,587.50 "
10/14/2008,"$51,262.50 "
10/15/2008,"$52,762.50 "
10/16/2008,"$55,487.50 "
10/17/2008,"$59,237.50 "
10/22/2008,"$62,775.00 "
10/23/2008,"$66,700.00 "
10/28/2008,"$67,650.00 "
10/29/2008,"$71,875.00 "
11/4/2008,"$70,500.00 "
11/5/2008,"$67,700.00 "
11/6/2008,"$71,575.00 "
11/10/2008,"$71,875.00 "
11/11/2008,"$73,375.00 "
11/13/2008,"$78,100.00 "
11/14/2008,"$82,125.00 "
11/18/2008,"$71,275.00 "
11/21/2008,"$73,175.00 "
11/25/2008,"$84,075.00 "
11/26/2008,"$80,975.00 "
12/1/2008,"$82,475.00 "
12/2/2008,"$85,762.50 "
12/3/2008,"$82,362.50 "
12/4/2008,"$81,937.50 "
12/5/2008,"$83,462.50 "
12/9/2008,"$83,062.50 "
12/10/2008,"$84,187.50 "
12/11/2008,"$82,537.50 "
12/12/2008,"$85,462.50 "
12/16/2008,"$84,437.50 "
12/17/2008,"$89,387.50 "
12/19/2008,"$89,987.50 "
12/22/2008,"$85,987.50 "
12/23/2008,"$86,137.50 "
12/26/2008,"$86,687.50 "
12/30/2008,"$85,487.50 "
1/2/2009,"$89,637.50 "
1/5/2009,"$89,712.50 "
1/7/2009,"$87,487.50 "
1/8/2009,"$89,712.50 "
1/9/2009,"$89,162.50 "
1/14/2009,"$84,212.50 "
1/15/2009,"$85,562.50 "
1/16/2009,"$83,662.50 "
1/21/2009,"$84,787.50 "
1/22/2009,"$86,937.50 "
1/26/2009,"$84,037.50 "
1/30/2009,"$85,762.50 "
2/4/2009,"$87,062.50 "
2/5/2009,"$85,387.50 "
2/9/2009,"$90,037.50 "
2/10/2009,"$91,537.50 "
2/11/2009,"$93,225.00 "
2/12/2009,"$89,275.00 "
2/17/2009,"$81,100.00 "
2/18/2009,"$81,850.00 "
2/20/2009,"$76,650.00 "
2/24/2009,"$77,175.00 "
2/25/2009,"$79,625.00 "
2/26/2009,"$73,450.00 "
3/2/2009,"$74,950.00 "
3/3/2009,"$76,750.00 "
3/5/2009,"$75,200.00 "
3/6/2009,"$75,400.00 "
3/9/2009,"$73,500.00 "
3/10/2009,"$71,125.00 "
3/12/2009,"$69,475.00 "
3/13/2009,"$74,075.00 "
3/16/2009,"$69,800.00 "
3/17/2009,"$68,600.00 "
3/18/2009,"$67,500.00 "
3/23/2009,"$66,825.00 "
3/24/2009,"$70,275.00 "
3/25/2009,"$69,650.00 "
