"Date","Time","Open","High","Low","Close","Vol","OI","exHurst1","exHurst2","xh4","exHurst1","exHurst2","xh5","p","xH1","xH2","Signal","Price","BarsAgo","BuildTime","Wavelength","dZ","edge%","~Hit%","~CallStrike","~PutStrike","MaxRetDate","x_est","ZMA","Upper Band","Lower Band"
04/09/2018,17:00,53.72,55.33,53.65,55.14,655831,324168,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.30,55.68,0.00,0.00
04/10/2018,17:00,55.02,57.58,54.92,57.23,840280,271965,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.32,55.57,0.00,0.00
04/11/2018,17:00,57.31,59.17,56.87,58.54,963017,238541,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.43,55.69,0.00,0.00
04/12/2018,17:00,58.47,59.05,57.72,58.79,687468,218424,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.61,56.01,0.00,0.00
04/13/2018,17:00,58.90,59.48,58.42,59.11,624203,194380,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.84,56.46,0.00,0.00
04/16/2018,17:00,58.96,59.46,57.85,57.94,560076,156496,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.08,56.92,0.00,0.00
04/17/2018,17:00,58.14,58.47,57.28,58.24,472785,86798,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.30,57.33,0.00,0.00
04/18/2018,17:00,58.42,60.63,58.27,60.20,674700,567907,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.56,57.78,0.00,0.00
04/19/2018,17:00,60.46,61.28,59.73,60.06,724906,570219,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.86,58.25,0.00,0.00
04/20/2018,17:00,59.95,60.39,59.22,60.13,724906,567940,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.17,58.70,0.00,0.00
04/23/2018,17:00,59.95,60.76,58.87,60.37,740941,553193,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.46,59.13,0.00,0.00
04/24/2018,17:00,60.68,61.11,59.27,59.43,832296,537498,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.74,59.47,0.00,0.00
04/25/2018,17:00,59.48,59.91,58.84,59.78,764049,547393,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.99,59.72,0.00,0.00
04/26/2018,17:00,59.76,60.51,59.44,59.92,660549,547156,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.22,59.90,0.00,0.00
04/27/2018,17:00,59.94,60.09,59.37,59.83,542549,536864,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.42,60.02,0.00,0.00
04/30/2018,17:00,59.88,61.07,58.90,60.30,755186,534133,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.62,60.11,0.00,0.00
05/01/2018,17:00,60.29,60.63,58.58,58.98,694771,519550,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.77,60.12,0.00,0.00
05/02/2018,17:00,59.22,59.87,58.65,59.66,789367,516664,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.89,60.09,0.00,0.00
05/03/2018,17:00,59.41,60.33,58.94,60.16,690876,517284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.01,60.07,0.00,0.00
05/04/2018,17:00,60.23,61.70,59.85,61.45,690876,506546,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.15,60.13,0.00,0.00
