#,closedDate,Profit/Loss,equity,returnPerc,Date
58.0,2017-02-13 00:00:00,-5900.0,639200.0,-0.009145868857541428,2017-02-13 00:00:00
59.0,2017-03-03 00:00:00,100.0,639300.0,0.00015644555694627194,2017-03-03 00:00:00
60.0,2017-04-03 00:00:00,35800.0,675100.0,0.0559987486313156,2017-04-03 00:00:00
61.0,2017-04-21 00:00:00,-10800.0,664300.0,-0.01599762998074361,2017-04-21 00:00:00
62.0,2017-05-18 00:00:00,3000.0,667300.0,0.0045160319132921956,2017-05-18 00:00:00
63.0,2017-06-01 00:00:00,-13000.0,654300.0,-0.01948149258204701,2017-06-01 00:00:00
64.0,2017-07-03 00:00:00,15100.0,669400.0,0.02307809873146871,2017-07-03 00:00:00
65.0,2017-08-15 00:00:00,2700.0,672100.0,0.004033462802509602,2017-08-15 00:00:00
66.0,2017-09-06 00:00:00,-14600.0,657500.0,-0.02172295789317069,2017-09-06 00:00:00
67.0,2017-10-06 00:00:00,-4200.0,653300.0,-0.006387832699619733,2017-10-06 00:00:00
68.0,2017-10-13 00:00:00,-21600.0,631700.0,-0.03306291137302919,2017-10-13 00:00:00
69.0,2017-12-07 00:00:00,48200.0,679900.0,0.07630204210859581,2017-12-07 00:00:00
70.0,2017-12-11 00:00:00,-13000.0,666900.0,-0.019120458891013437,2017-12-11 00:00:00
71.0,2017-12-14 00:00:00,-9500.0,657400.0,-0.014245014245014231,2017-12-14 00:00:00
72.0,2017-12-19 00:00:00,-4800.0,652600.0,-0.0073014907210222635,2017-12-19 00:00:00
73.0,2018-02-07 00:00:00,42800.0,695400.0,0.06558381857186646,2018-02-07 00:00:00
74.0,2018-02-26 00:00:00,-22900.0,672500.0,-0.03293068737417315,2018-02-26 00:00:00
75.0,2018-03-02 00:00:00,-26600.0,645900.0,-0.03955390334572495,2018-03-02 00:00:00
76.0,2018-03-06 00:00:00,-13500.0,632400.0,-0.02090106827682303,2018-03-06 00:00:00
77.0,2018-03-08 00:00:00,-24800.0,607600.0,-0.039215686274509776,2018-03-08 00:00:00
78.0,2018-03-20 00:00:00,-33600.0,574000.0,-0.055299539170506895,2018-03-20 00:00:00
79.0,2018-04-06 00:00:00,-14800.0,559200.0,-0.025783972125435595,2018-04-06 00:00:00
80.0,2018-04-11 00:00:00,-47600.0,511600.0,-0.08512160228898424,2018-04-11 00:00:00
81.0,2018-05-29 00:00:00,-1600.0,510000.0,-0.0031274433150899617,2018-05-29 00:00:00
82.0,2018-06-25 00:00:00,-15600.0,494400.0,-0.030588235294117694,2018-06-25 00:00:00
83.0,2018-07-16 00:00:00,-200.0,494200.0,-0.0004045307443365509,2018-07-16 00:00:00
84.0,2018-07-31 00:00:00,-16200.0,478000.0,-0.03278025091056258,2018-07-31 00:00:00
85.0,2018-08-01 00:00:00,-11000.0,467000.0,-0.023012552301255207,2018-08-01 00:00:00
86.0,2018-08-24 00:00:00,-16400.0,450600.0,-0.03511777301927199,2018-08-24 00:00:00
87.0,2018-10-12 00:00:00,28500.0,479100.0,0.06324900133155786,2018-10-12 00:00:00
88.0,2019-01-08 00:00:00,219700.0,698800.0,0.4585681486119808,2019-01-08 00:00:00
89.0,2019-02-11 00:00:00,23900.0,722700.0,0.0342014882655981,2019-02-11 00:00:00
