#,Type,Date/Time,Signal,Symbol,Price,Roll Over Amt (USD),Profit/Loss,Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage
203,Buy,10/15/2015 11:00,Easy_LE,@ES,"$1,989.25 ",$0.00 ,4,"$4,150.00 ",1.04%,"$4,950.00 ",72.26%,,$0.00 ,$0.00 
,Sell,10/16/2015 10:00,_LX..,@ES,"$2,010.00 ",,"$4,150.00 ","$89,575.00 ",,"($1,900.00)",88.32%,60.58%,$0.00 ,$0.00 
204,Buy,10/20/2015 11:30,Easy_LE,@ES,"$2,017.50 ",$0.00 ,4,($150.00),-0.04%,$800.00 ,31.37%,,$0.00 ,$0.00 
,Sell,10/21/2015 12:00,Easy_SX,@ES,"$2,016.75 ",,($150.00),"$89,425.00 ",,"($1,750.00)",62.75%,-5.88%,$0.00 ,$0.00 
205,Buy,10/22/2015 11:00,Easy_LE,@ES,"$2,029.00 ",$0.00 ,4,"$6,400.00 ",1.58%,"$6,950.00 ",89.10%,,$0.00 ,$0.00 
,Sell,10/23/2015 15:00,Easy_SX,@ES,"$2,061.00 ",,"$6,400.00 ","$95,825.00 ",,($850.00),92.95%,82.05%,$0.00 ,$0.00 
206,Buy,10/28/2015 11:30,Easy_LE,@ES,"$2,063.00 ",$0.00 ,4,"$1,350.00 ",0.33%,"$2,150.00 ",38.39%,,$0.00 ,$0.00 
,Sell,10/29/2015 10:00,_LX..,@ES,"$2,069.75 ",,"$1,350.00 ","$97,175.00 ",,"($3,450.00)",85.71%,24.11%,$0.00 ,$0.00 
207,Buy,10/30/2015 14:00,Easy_LE,@ES,"$2,076.25 ",$0.00 ,4,"$1,200.00 ",0.29%,"$2,800.00 ",49.56%,,$0.00 ,$0.00 
,Sell,11/3/2015 10:00,_LX..,@ES,"$2,082.25 ",,"$1,200.00 ","$98,375.00 ",,"($2,850.00)",71.68%,21.24%,$0.00 ,$0.00 
208,Buy,11/10/2015 12:30,Easy_LE,@ES,"$2,062.25 ",$0.00 ,4,"($2,850.00)",-0.69%,"$2,100.00 ",36.52%,,$0.00 ,$0.00 
,Sell,11/12/2015 10:00,_LX..,@ES,"$2,048.00 ",,"($2,850.00)","$95,525.00 ",,"($3,650.00)",13.91%,-49.57%,$0.00 ,$0.00 
209,Buy,11/13/2015 13:00,Easy_LE,@ES,"$2,020.00 ",$0.00 ,4,"$4,200.00 ",1.04%,"$4,700.00 ",60.65%,,$0.00 ,$0.00 
,Sell,11/17/2015 10:00,_LX..,@ES,"$2,041.00 ",,"$4,200.00 ","$99,725.00 ",,"($3,050.00)",93.55%,54.19%,$0.00 ,$0.00 
210,Buy,11/18/2015 10:30,Easy_LE,@ES,"$2,046.75 ",$0.00 ,4,"$4,650.00 ",1.14%,"$5,450.00 ",91.60%,,$0.00 ,$0.00 
,Sell,11/19/2015 14:00,Easy_SX,@ES,"$2,070.00 ",,"$4,650.00 ","$104,375.00 ",,($500.00),86.55%,78.15%,$0.00 ,$0.00 
211,Buy,11/20/2015 10:30,Easy_LE,@ES,"$2,081.75 ",$0.00 ,4,"($1,600.00)",-0.38%,$300.00 ,10.17%,,$0.00 ,$0.00 
,Sell,11/23/2015 15:30,Easy_SX,@ES,"$2,073.75 ",,"($1,600.00)","$102,775.00 ",,"($2,650.00)",35.59%,-54.24%,$0.00 ,$0.00 
212,Buy,11/25/2015 12:30,Easy_LE,@ES,"$2,080.25 ",$0.00 ,4,"($1,350.00)",-0.32%,$400.00 ,19.05%,,$0.00 ,$0.00 
,Sell,11/30/2015 11:30,Easy_SX,@ES,"$2,073.50 ",,"($1,350.00)","$101,425.00 ",,"($1,700.00)",16.67%,-64.29%,$0.00 ,$0.00 
213,Buy,12/1/2015 11:00,Easy_LE,@ES,"$2,082.50 ",$0.00 ,4,"$1,950.00 ",0.47%,"$2,100.00 ",70.00%,,$0.00 ,$0.00 
,Sell,12/2/2015 10:00,_LX..,@ES,"$2,092.25 ",,"$1,950.00 ","$103,375.00 ",,($900.00),95.00%,65.00%,$0.00 ,$0.00 
214,Buy,12/4/2015 12:00,Easy_LE,@ES,"$2,061.25 ",$0.00 ,4,"$1,650.00 ",0.40%,"$4,400.00 ",89.80%,,$0.00 ,$0.00 
,Sell,12/7/2015 10:00,_LX..,@ES,"$2,069.50 ",,"$1,650.00 ","$105,025.00 ",,($500.00),43.88%,33.67%,$0.00 ,$0.00 
215,Buy,12/9/2015 10:30,Easy_LE,@ES,"$2,060.75 ",$0.00 ,4,"($9,800.00)",-2.38%,"$1,850.00 ",15.23%,,$0.00 ,$0.00 
,Sell,12/11/2015 10:00,_LX..,@ES,"$2,011.75 ",,"($9,800.00)","$95,225.00 ",,"($10,300.00)",4.12%,-80.66%,$0.00 ,$0.00 
216,Buy,12/15/2015 10:30,Easy_LE,@ES,"$2,035.50 ",$0.00 ,4,"$4,600.00 ",1.13%,"$6,400.00 ",81.53%,,$0.00 ,$0.00 
,Sell,12/17/2015 10:00,_LX..,@ES,"$2,058.50 ",,"$4,600.00 ","$99,825.00 ",,"($1,450.00)",77.07%,58.60%,$0.00 ,$0.00 
217,Buy,12/21/2015 11:30,Easy_LE,@ES,"$2,001.25 ",$0.00 ,2,"$3,975.00 ",1.99%,"$3,975.00 ",84.13%,,$0.00 ,$0.00 
,Sell,12/23/2015 10:00,T1_LX...,@ES,"$2,041.00 ",,"$3,975.00 ","$103,800.00 ",,($750.00),100.00%,84.13%,$0.00 ,$0.00 
218,Buy,12/21/2015 11:30,Easy_LE,@ES,"$2,001.25 ",$0.00 ,2,"$4,900.00 ",2.45%,"$5,450.00 ",87.90%,,$0.00 ,$0.00 
,Sell,12/24/2015 10:00,_LX..,@ES,"$2,050.25 ",,"$4,900.00 ","$108,700.00 ",,($750.00),91.13%,79.03%,$0.00 ,$0.00 
219,Buy,12/29/2015 13:00,Easy_LE,@ES,"$2,065.50 ",$0.00 ,4,($500.00),-0.12%,"$1,400.00 ",63.64%,,$0.00 ,$0.00 
,Sell,12/30/2015 10:00,_LX..,@ES,"$2,063.00 ",,($500.00),"$108,200.00 ",,($800.00),13.64%,-22.73%,$0.00 ,$0.00 
220,Buy,1/5/2016 12:00,Easy_LE,@ES,"$2,001.50 ",$0.00 ,4,"($3,400.00)",-0.85%,"$2,150.00 ",28.86%,,$0.00 ,$0.00 
,Sell,1/6/2016 10:00,_LX..,@ES,"$1,984.50 ",,"($3,400.00)","$104,800.00 ",,"($5,300.00)",25.50%,-45.64%,$0.00 ,$0.00 
221,Buy,1/8/2016 11:30,Easy_LE,@ES,"$1,928.75 ",$0.00 ,4,"($5,250.00)",-1.36%,"$2,500.00 ",24.63%,,$0.00 ,$0.00 
,Sell,1/11/2016 15:00,c_LX...,@ES,"$1,902.50 ",,"($5,250.00)","$99,550.00 ",,"($7,650.00)",23.65%,-51.72%,$0.00 ,$0.00 
222,Buy,1/12/2016 10:00,Easy_LE,@ES,"$1,932.25 ",$0.00 ,4,"($4,200.00)",-1.09%,$450.00 ,8.18%,,$0.00 ,$0.00 
,Sell,1/12/2016 14:00,c_LX...,@ES,"$1,911.25 ",,"($4,200.00)","$95,350.00 ",,"($5,050.00)",15.45%,-76.36%,$0.00 ,$0.00 
223,Buy,1/14/2016 12:00,Easy_LE,@ES,"$1,902.00 ",$0.00 ,4,"($6,750.00)",-1.77%,"$4,700.00 ",34.94%,,$0.00 ,$0.00 
,Sell,1/15/2016 10:00,_LX..,@ES,"$1,868.25 ",,"($6,750.00)","$88,600.00 ",,"($8,750.00)",14.87%,-50.19%,$0.00 ,$0.00 
224,Buy,1/19/2016 12:00,Easy_LE,@ES,"$1,881.75 ",$0.00 ,4,"($9,600.00)",-2.55%,$150.00 ,1.49%,,$0.00 ,$0.00 
,Sell,1/20/2016 10:00,_LX..,@ES,"$1,833.75 ",,"($9,600.00)","$79,000.00 ",,"($9,900.00)",2.99%,-95.52%,$0.00 ,$0.00 
225,Buy,1/21/2016 11:00,Easy_LE,@ES,"$1,861.25 ",$0.00 ,2,"$3,500.00 ",1.88%,"$3,500.00 ",75.68%,,$0.00 ,$0.00 
,Sell,1/22/2016 10:30,T1_LX...,@ES,"$1,896.25 ",,"$3,500.00 ","$82,500.00 ",,"($1,125.00)",100.00%,75.68%,$0.00 ,$0.00 
226,Buy,1/21/2016 11:00,Easy_LE,@ES,"$1,861.25 ",$0.00 ,2,"$2,700.00 ",1.45%,"$3,900.00 ",77.61%,,$0.00 ,$0.00 
,Sell,1/25/2016 10:00,_LX..,@ES,"$1,888.25 ",,"$2,700.00 ","$85,200.00 ",,"($1,125.00)",76.12%,53.73%,$0.00 ,$0.00 
227,Buy,1/26/2016 12:00,Easy_LE,@ES,"$1,888.00 ",$0.00 ,4,$50.00 ,0.01%,"$1,950.00 ",79.59%,,$0.00 ,$0.00 
,Sell,1/27/2016 10:00,_LX..,@ES,"$1,888.25 ",,$50.00 ,"$85,250.00 ",,($500.00),22.45%,2.04%,$0.00 ,$0.00 
228,Buy,1/28/2016 11:30,Easy_LE,@ES,"$1,878.50 ",$0.00 ,2,"$3,500.00 ",1.86%,"$3,500.00 ",79.55%,,$0.00 ,$0.00 
,Sell,1/29/2016 12:30,T1_LX...,@ES,"$1,913.50 ",,"$3,500.00 ","$88,750.00 ",,($900.00),100.00%,79.55%,$0.00 ,$0.00 
229,Buy,1/28/2016 11:30,Easy_LE,@ES,"$1,878.50 ",$0.00 ,2,"$3,750.00 ",2.00%,"$5,150.00 ",85.12%,,$0.00 ,$0.00 
,Sell,2/1/2016 10:00,_LX..,@ES,"$1,916.00 ",,"$3,750.00 ","$92,500.00 ",,($900.00),76.86%,61.98%,$0.00 ,$0.00 
230,Buy,2/3/2016 15:00,Easy_LE,@ES,"$1,905.75 ",$0.00 ,4,"($2,550.00)",-0.67%,"$2,800.00 ",45.53%,,$0.00 ,$0.00 
,Sell,2/5/2016 10:00,_LX..,@ES,"$1,893.00 ",,"($2,550.00)","$89,950.00 ",,"($3,350.00)",13.01%,-41.46%,$0.00 ,$0.00 
231,Buy,2/10/2016 10:30,Easy_LE,@ES,"$1,866.00 ",$0.00 ,4,"($7,750.00)",-2.08%,"$1,950.00 ",15.66%,,$0.00 ,$0.00 
,Sell,2/11/2016 10:00,_LX..,@ES,"$1,827.25 ",,"($7,750.00)","$82,200.00 ",,"($10,500.00)",22.09%,-62.25%,$0.00 ,$0.00 
232,Buy,2/12/2016 11:00,Easy_LE,@ES,"$1,839.50 ",$0.00 ,2,"$4,050.00 ",2.20%,"$4,050.00 ",99.39%,,$0.00 ,$0.00 
,Sell,2/16/2016 10:00,T1_LX...,@ES,"$1,880.00 ",,"$4,050.00 ","$86,250.00 ",,($25.00),100.00%,99.39%,$0.00 ,$0.00 
233,Buy,2/12/2016 11:00,Easy_LE,@ES,"$1,839.50 ",$0.00 ,2,"$8,000.00 ",4.35%,"$8,575.00 ",99.71%,,$0.00 ,$0.00 
,Sell,2/18/2016 10:00,_LX..,@ES,"$1,919.50 ",,"$8,000.00 ","$94,250.00 ",,($25.00),93.31%,93.02%,$0.00 ,$0.00 
234,Buy,2/22/2016 11:00,Easy_LE,@ES,"$1,935.75 ",$0.00 ,4,($700.00),-0.18%,"$1,200.00 ",50.00%,,$0.00 ,$0.00 
,Sell,2/23/2016 10:00,_LX..,@ES,"$1,932.25 ",,($700.00),"$93,550.00 ",,"($1,200.00)",20.83%,-29.17%,$0.00 ,$0.00 
235,Buy,2/25/2016 11:00,Easy_LE,@ES,"$1,924.50 ",$0.00 ,2,"$3,500.00 ",1.82%,"$3,500.00 ",93.33%,,$0.00 ,$0.00 
,Sell,3/1/2016 12:00,T1_LX...,@ES,"$1,959.50 ",,"$3,500.00 ","$97,050.00 ",,($250.00),100.00%,93.33%,$0.00 ,$0.00 
236,Buy,2/25/2016 11:00,Easy_LE,@ES,"$1,924.50 ",$0.00 ,2,"$4,400.00 ",2.29%,"$4,925.00 ",95.17%,,$0.00 ,$0.00 
,Sell,3/2/2016 10:00,_LX..,@ES,"$1,968.50 ",,"$4,400.00 ","$101,450.00 ",,($250.00),89.86%,85.02%,$0.00 ,$0.00 
237,Buy,3/3/2016 14:30,Easy_LE,@ES,"$1,983.50 ",$0.00 ,4,"$1,200.00 ",0.30%,"$4,400.00 ",91.67%,,$0.00 ,$0.00 
,Sell,3/7/2016 10:30,Easy_SX,@ES,"$1,989.50 ",,"$1,200.00 ","$102,650.00 ",,($400.00),33.33%,25.00%,$0.00 ,$0.00 
238,Buy,3/9/2016 12:30,Easy_LE,@ES,"$1,987.50 ",$0.00 ,4,($950.00),-0.24%,"$3,050.00 ",67.78%,,$0.00 ,$0.00 
,Sell,3/10/2016 11:00,_LX..,@ES,"$1,982.75 ",,($950.00),"$101,700.00 ",,"($1,450.00)",11.11%,-21.11%,$0.00 ,$0.00 
239,Buy,3/11/2016 11:00,Easy_LE,@ES,"$2,010.00 ",$0.00 ,4,$50.00 ,0.01%,"$2,000.00 ",95.24%,,$0.00 ,$0.00 
,Sell,3/14/2016 10:00,_LX..,@ES,"$2,010.25 ",,$50.00 ,"$101,750.00 ",,($100.00),7.14%,2.38%,$0.00 ,$0.00 
240,Buy,3/16/2016 12:00,Easy_LE,@ES,"$2,014.00 ",$0.00 ,2,"$3,500.00 ",1.74%,"$3,500.00 ",83.33%,,$0.00 ,$0.00 
,Sell,3/18/2016 11:30,T1_LX...,@ES,"$2,049.00 ",,"$3,500.00 ","$105,250.00 ",,($700.00),100.00%,83.33%,$0.00 ,$0.00 
241,Buy,3/16/2016 12:00,Easy_LE,@ES,"$2,014.00 ",$0.00 ,2,"$2,875.00 ",1.43%,"$3,600.00 ",83.72%,,$0.00 ,$0.00 
,Sell,3/21/2016 10:30,Easy_SX,@ES,"$2,042.75 ",,"$2,875.00 ","$108,125.00 ",,($700.00),83.14%,66.86%,$0.00 ,$0.00 
242,Buy,3/24/2016 16:00,Easy_LE,@ES,"$2,034.00 ",$0.00 ,2,"$3,500.00 ",1.72%,"$3,500.00 ",82.35%,,$0.00 ,$0.00 
,Sell,3/30/2016 10:00,T1_LX...,@ES,"$2,069.00 ",,"$3,500.00 ","$111,625.00 ",,($750.00),100.00%,82.35%,$0.00 ,$0.00 
243,Buy,3/24/2016 16:00,Easy_LE,@ES,"$2,034.00 ",$0.00 ,2,"$2,625.00 ",1.29%,"$3,775.00 ",83.43%,,$0.00 ,$0.00 
,Sell,3/31/2016 15:30,Easy_SX,@ES,"$2,060.25 ",,"$2,625.00 ","$114,250.00 ",,($750.00),74.59%,58.01%,$0.00 ,$0.00 
244,Buy,4/6/2016 11:30,Easy_LE,@ES,"$2,057.25 ",$0.00 ,4,($300.00),-0.07%,"$2,100.00 ",70.00%,,$0.00 ,$0.00 
,Sell,4/7/2016 10:00,_LX..,@ES,"$2,055.75 ",,($300.00),"$113,950.00 ",,($900.00),20.00%,-10.00%,$0.00 ,$0.00 
245,Buy,4/8/2016 11:00,Easy_LE,@ES,"$2,055.25 ",$0.00 ,4,"$4,900.00 ",1.19%,"$5,900.00 ",65.56%,,$0.00 ,$0.00 
,Sell,4/14/2016 10:00,_LX..,@ES,"$2,079.75 ",,"$4,900.00 ","$118,850.00 ",,"($3,100.00)",88.89%,54.44%,$0.00 ,$0.00 
246,Buy,4/18/2016 12:30,Easy_LE,@ES,"$2,092.00 ",$0.00 ,4,"$1,950.00 ",0.47%,"$2,600.00 ",85.25%,,$0.00 ,$0.00 
,Sell,4/20/2016 11:00,Easy_SX,@ES,"$2,101.75 ",,"$1,950.00 ","$120,800.00 ",,($450.00),78.69%,63.93%,$0.00 ,$0.00 
247,Buy,4/22/2016 12:30,Easy_LE,@ES,"$2,084.00 ",$0.00 ,4,$100.00 ,0.02%,"$2,000.00 ",86.96%,,$0.00 ,$0.00 
,Sell,4/25/2016 10:00,_LX..,@ES,"$2,084.50 ",,$100.00 ,"$120,900.00 ",,($300.00),17.39%,4.35%,$0.00 ,$0.00 
248,Buy,4/26/2016 12:00,Easy_LE,@ES,"$2,092.25 ",$0.00 ,4,$250.00 ,0.06%,"$1,800.00 ",50.70%,,$0.00 ,$0.00 
,Sell,4/28/2016 10:00,_LX..,@ES,"$2,093.50 ",,$250.00 ,"$121,150.00 ",,"($1,750.00)",56.34%,7.04%,$0.00 ,$0.00 
249,Buy,5/2/2016 13:00,Easy_LE,@ES,"$2,075.75 ",$0.00 ,4,"($2,500.00)",-0.60%,"$1,800.00 ",37.50%,,$0.00 ,$0.00 
,Sell,5/3/2016 10:00,_LX..,@ES,"$2,063.25 ",,"($2,500.00)","$118,650.00 ",,"($3,000.00)",10.42%,-52.08%,$0.00 ,$0.00 
250,Buy,5/5/2016 10:30,Easy_LE,@ES,"$2,055.75 ",$0.00 ,4,"$4,650.00 ",1.13%,"$6,250.00 ",67.93%,,$0.00 ,$0.00 
,Sell,5/11/2016 10:00,_LX..,@ES,"$2,079.00 ",,"$4,650.00 ","$123,300.00 ",,"($2,950.00)",82.61%,50.54%,$0.00 ,$0.00 
251,Buy,5/16/2016 11:00,Easy_LE,@ES,"$2,062.75 ",$0.00 ,4,$350.00 ,0.08%,"$2,600.00 ",86.67%,,$0.00 ,$0.00 
,Sell,5/17/2016 10:00,_LX..,@ES,"$2,064.50 ",,$350.00 ,"$123,650.00 ",,($400.00),25.00%,11.67%,$0.00 ,$0.00 
252,Buy,5/20/2016 11:30,Easy_LE,@ES,"$2,060.75 ",$0.00 ,4,($950.00),-0.23%,$400.00 ,18.60%,,$0.00 ,$0.00 
,Sell,5/23/2016 10:00,_LX..,@ES,"$2,056.00 ",,($950.00),"$122,700.00 ",,"($1,750.00)",37.21%,-44.19%,$0.00 ,$0.00 
253,Buy,5/27/2016 16:00,Easy_LE,@ES,"$2,104.00 ",$0.00 ,4,($800.00),-0.19%,$950.00 ,51.35%,,$0.00 ,$0.00 
,Sell,5/31/2016 12:00,c_LX...,@ES,"$2,100.00 ",,($800.00),"$121,900.00 ",,($900.00),5.41%,-43.24%,$0.00 ,$0.00 
254,Buy,6/1/2016 16:00,Easy_LE,@ES,"$2,104.25 ",$0.00 ,4,"($1,350.00)",-0.32%,$0.00 ,0.00%,,$0.00 ,$0.00 
,Sell,6/2/2016 10:30,c_LX...,@ES,"$2,097.50 ",,"($1,350.00)","$120,550.00 ",,"($2,050.00)",34.15%,-65.85%,$0.00 ,$0.00 
255,Buy,6/6/2016 10:30,Easy_LE,@ES,"$2,113.25 ",$0.00 ,4,"$1,150.00 ",0.27%,"$2,750.00 ",67.90%,,$0.00 ,$0.00 
,Sell,6/9/2016 10:00,_LX..,@ES,"$2,119.00 ",,"$1,150.00 ","$121,700.00 ",,"($1,300.00)",60.49%,28.40%,$0.00 ,$0.00 
256,Buy,6/15/2016 10:30,Easy_LE,@ES,"$2,088.25 ",$0.00 ,4,"($5,550.00)",-1.33%,"$1,500.00 ",21.28%,,$0.00 ,$0.00 
,Sell,6/16/2016 10:00,_LX..,@ES,"$2,060.50 ",,"($5,550.00)","$116,150.00 ",,"($5,550.00)",0.00%,-78.72%,$0.00 ,$0.00 
257,Buy,6/17/2016 10:30,Easy_LE,@ES,"$2,076.75 ",$0.00 ,4,"$3,500.00 ",0.84%,"$6,400.00 ",81.53%,,$0.00 ,$0.00 
,Sell,6/21/2016 10:00,_LX..,@ES,"$2,094.25 ",,"$3,500.00 ","$119,650.00 ",,"($1,450.00)",63.06%,44.59%,$0.00 ,$0.00 
258,Buy,6/23/2016 11:00,Easy_LE,@ES,"$2,110.25 ",$0.00 ,4,"($7,750.00)",-1.84%,"$2,200.00 ",14.47%,,$0.00 ,$0.00 
,Sell,6/24/2016 10:00,_LX..,@ES,"$2,071.50 ",,"($7,750.00)","$111,900.00 ",,"($13,000.00)",34.54%,-50.99%,$0.00 ,$0.00 
259,Buy,6/28/2016 11:00,Easy_LE,@ES,"$2,027.25 ",$0.00 ,2,"$3,500.00 ",1.73%,"$3,500.00 ",87.50%,,$0.00 ,$0.00 
,Sell,6/29/2016 10:00,T1_LX...,@ES,"$2,062.25 ",,"$3,500.00 ","$115,400.00 ",,($500.00),100.00%,87.50%,$0.00 ,$0.00 
260,Buy,6/28/2016 11:00,Easy_LE,@ES,"$2,027.25 ",$0.00 ,2,"$5,125.00 ",2.53%,"$5,800.00 ",92.06%,,$0.00 ,$0.00 
,Sell,6/30/2016 10:00,_LX..,@ES,"$2,078.50 ",,"$5,125.00 ","$120,525.00 ",,($500.00),89.29%,81.35%,$0.00 ,$0.00 
261,Buy,7/6/2016 15:30,Easy_LE,@ES,"$2,104.25 ",$0.00 ,2,"$3,500.00 ",1.66%,"$3,500.00 ",84.85%,,$0.00 ,$0.00 
,Sell,7/8/2016 14:30,T1_LX...,@ES,"$2,139.25 ",,"$3,500.00 ","$124,025.00 ",,($625.00),100.00%,84.85%,$0.00 ,$0.00 
262,Buy,7/6/2016 15:30,Easy_LE,@ES,"$2,104.25 ",$0.00 ,2,"$5,675.00 ",2.70%,"$6,275.00 ",90.94%,,$0.00 ,$0.00 
,Sell,7/13/2016 10:00,_LX..,@ES,"$2,161.00 ",,"$5,675.00 ","$129,700.00 ",,($625.00),91.30%,82.25%,$0.00 ,$0.00 
263,Buy,7/18/2016 13:00,Easy_LE,@ES,"$2,175.50 ",$0.00 ,4,($900.00),-0.21%,$650.00 ,35.14%,,$0.00 ,$0.00 
,Sell,7/19/2016 10:00,_LX..,@ES,"$2,171.00 ",,($900.00),"$128,800.00 ",,"($1,200.00)",16.22%,-48.65%,$0.00 ,$0.00 
264,Buy,7/20/2016 12:30,Easy_LE,@ES,"$2,183.75 ",$0.00 ,4,"($1,400.00)",-0.32%,$450.00 ,19.57%,,$0.00 ,$0.00 
,Sell,7/21/2016 13:30,Easy_SX,@ES,"$2,176.75 ",,"($1,400.00)","$127,400.00 ",,"($1,850.00)",19.57%,-60.87%,$0.00 ,$0.00 
265,Buy,7/22/2016 13:00,Easy_LE,@ES,"$2,182.25 ",$0.00 ,4,"($1,250.00)",-0.29%,$650.00 ,28.89%,,$0.00 ,$0.00 
,Sell,7/25/2016 10:30,_LX..,@ES,"$2,176.00 ",,"($1,250.00)","$126,150.00 ",,"($1,600.00)",15.56%,-55.56%,$0.00 ,$0.00 
266,Buy,7/26/2016 12:30,Easy_LE,@ES,"$2,179.25 ",$0.00 ,4,"($1,150.00)",-0.26%,"$1,250.00 ",47.17%,,$0.00 ,$0.00 
,Sell,7/27/2016 13:00,Easy_SX,@ES,"$2,173.50 ",,"($1,150.00)","$125,000.00 ",,"($1,400.00)",9.43%,-43.40%,$0.00 ,$0.00 
267,Buy,7/29/2016 11:30,Easy_LE,@ES,"$2,184.00 ",$0.00 ,4,($400.00),-0.09%,$800.00 ,42.11%,,$0.00 ,$0.00 
,Sell,8/1/2016 10:00,_LX..,@ES,"$2,182.00 ",,($400.00),"$124,600.00 ",,"($1,100.00)",36.84%,-21.05%,$0.00 ,$0.00 
268,Buy,8/3/2016 12:30,Easy_LE,@ES,"$2,170.25 ",$0.00 ,4,"$4,450.00 ",1.03%,"$5,450.00 ",91.60%,,$0.00 ,$0.00 
,Sell,8/8/2016 16:00,Easy_SX,@ES,"$2,192.50 ",,"$4,450.00 ","$129,050.00 ",,($500.00),83.19%,74.79%,$0.00 ,$0.00 
269,Buy,8/11/2016 13:00,Easy_LE,@ES,"$2,199.00 ",$0.00 ,4,($850.00),-0.19%,$500.00 ,29.41%,,$0.00 ,$0.00 
,Sell,8/12/2016 13:00,Easy_SX,@ES,"$2,194.75 ",,($850.00),"$128,200.00 ",,"($1,200.00)",20.59%,-50.00%,$0.00 ,$0.00 
270,Buy,8/15/2016 11:00,Easy_LE,@ES,"$2,206.00 ",$0.00 ,4,"($2,050.00)",-0.46%,$200.00 ,7.27%,,$0.00 ,$0.00 
,Sell,8/16/2016 10:00,_LX..,@ES,"$2,195.75 ",,"($2,050.00)","$126,150.00 ",,"($2,550.00)",18.18%,-74.55%,$0.00 ,$0.00 
271,Buy,8/18/2016 10:30,Easy_LE,@ES,"$2,197.00 ",$0.00 ,4,"($1,400.00)",-0.32%,$750.00 ,31.25%,,$0.00 ,$0.00 
,Sell,8/19/2016 10:00,_LX..,@ES,"$2,190.00 ",,"($1,400.00)","$124,750.00 ",,"($1,650.00)",10.42%,-58.33%,$0.00 ,$0.00 
272,Buy,8/23/2016 10:00,Easy_LE,@ES,"$2,207.00 ",$0.00 ,4,"($1,550.00)",-0.35%,$150.00 ,7.50%,,$0.00 ,$0.00 
,Sell,8/24/2016 10:00,_LX..,@ES,"$2,199.25 ",,"($1,550.00)","$123,200.00 ",,"($1,850.00)",15.00%,-77.50%,$0.00 ,$0.00 
273,Buy,8/25/2016 13:30,Easy_LE,@ES,"$2,191.00 ",$0.00 ,4,"($2,050.00)",-0.47%,"$2,400.00 ",46.15%,,$0.00 ,$0.00 
,Sell,8/26/2016 12:30,_LX..,@ES,"$2,180.75 ",,"($2,050.00)","$121,150.00 ",,"($2,800.00)",14.42%,-39.42%,$0.00 ,$0.00 
274,Buy,8/29/2016 11:30,Easy_LE,@ES,"$2,194.50 ",$0.00 ,4,($900.00),-0.21%,$800.00 ,37.21%,,$0.00 ,$0.00 
,Sell,8/30/2016 11:00,_LX..,@ES,"$2,190.00 ",,($900.00),"$120,250.00 ",,"($1,350.00)",20.93%,-41.86%,$0.00 ,$0.00 
275,Buy,9/2/2016 10:30,Easy_LE,@ES,"$2,196.75 ",$0.00 ,4,($300.00),-0.07%,$450.00 ,20.45%,,$0.00 ,$0.00 
,Sell,9/6/2016 10:00,_LX..,@ES,"$2,195.25 ",,($300.00),"$119,950.00 ",,"($1,750.00)",65.91%,-13.64%,$0.00 ,$0.00 
276,Buy,9/7/2016 16:00,Easy_LE,@ES,"$2,201.50 ",$0.00 ,4,"($1,500.00)",-0.34%,$0.00 ,0.00%,,$0.00 ,$0.00 
,Sell,9/8/2016 10:00,c_LX...,@ES,"$2,194.00 ",,"($1,500.00)","$118,450.00 ",,"($1,750.00)",14.29%,-85.71%,$0.00 ,$0.00 
277,Buy,9/12/2016 13:30,Easy_LE,@ES,"$2,155.25 ",$0.00 ,4,($850.00),-0.20%,"$4,700.00 ",83.93%,,$0.00 ,$0.00 
,Sell,9/13/2016 10:00,_LX..,@ES,"$2,151.00 ",,($850.00),"$117,600.00 ",,($900.00),0.89%,-15.18%,$0.00 ,$0.00 
278,Buy,9/14/2016 12:00,Easy_LE,@ES,"$2,150.50 ",$0.00 ,4,$350.00 ,0.08%,"$3,350.00 ",51.54%,,$0.00 ,$0.00 
,Sell,9/16/2016 10:00,_LX..,@ES,"$2,152.25 ",,$350.00 ,"$117,950.00 ",,"($3,150.00)",53.85%,5.38%,$0.00 ,$0.00 
279,Buy,9/19/2016 11:00,Easy_LE,@ES,"$2,164.25 ",$0.00 ,4,($800.00),-0.18%,$450.00 ,14.06%,,$0.00 ,$0.00 
,Sell,9/20/2016 15:00,Easy_SX,@ES,"$2,160.25 ",,($800.00),"$117,150.00 ",,"($2,750.00)",60.94%,-25.00%,$0.00 ,$0.00 
280,Buy,9/21/2016 10:30,Easy_LE,@ES,"$2,164.75 ",$0.00 ,4,"$4,200.00 ",0.97%,"$6,150.00 ",74.55%,,$0.00 ,$0.00 
,Sell,9/23/2016 10:00,_LX..,@ES,"$2,185.75 ",,"$4,200.00 ","$121,350.00 ",,"($2,100.00)",76.36%,50.91%,$0.00 ,$0.00 
281,Buy,9/27/2016 13:30,Easy_LE,@ES,"$2,175.25 ",$0.00 ,4,"$1,700.00 ",0.39%,"$2,650.00 ",60.92%,,$0.00 ,$0.00 
,Sell,9/29/2016 12:30,Easy_SX,@ES,"$2,183.75 ",,"$1,700.00 ","$123,050.00 ",,"($1,700.00)",78.16%,39.08%,$0.00 ,$0.00 
