 ,#,Signal,Date,Close2ClosePrice,Exit Date/Time,CloseExitPrice,Profit/Loss,OpenPrice,OpenExitPrice
44,45,Buy,2/1/2016 0:00,37.48,2/2/2016 0:00,35.74,-17400,39.69,37.23
45,46,Short,2/2/2016 0:00,35.74,2/26/2016 0:00,36.48,-7400,37.23,36.74
46,47,Buy,2/26/2016 0:00,36.48,3/31/2016 0:00,40.58,41000,36.74,40.54
47,48,Short,3/31/2016 0:00,40.58,4/12/2016 0:00,44.41,-38300,40.54,42.59
48,49,Buy,4/12/2016 0:00,44.41,6/15/2016 0:00,48.22,38100,42.59,48.11
49,50,Short,6/15/2016 0:00,48.22,8/12/2016 0:00,43.47,47500,48.11,42.44
50,51,Buy,8/12/2016 0:00,43.47,9/1/2016 0:00,41.41,-20600,42.44,43.1
51,52,Short,9/1/2016 0:00,41.41,9/29/2016 0:00,45.47,-40600,43.1,44.84
52,53,Buy,9/29/2016 0:00,45.47,10/27/2016 0:00,46.93,14600,44.84,46.43
53,54,Short,10/27/2016 0:00,46.93,11/22/2016 0:00,44.71,22200,46.43,45.05
54,55,Buy,11/22/2016 0:00,44.71,1/10/2017 0:00,46.43,17200,45.05,47.44
55,56,Short,1/10/2017 0:00,46.43,2/2/2017 0:00,48.37,-19400,47.44,48.4
56,57,Buy,2/2/2017 0:00,48.37,2/8/2017 0:00,47.17,-12000,48.4,46.47
57,58,Short,2/8/2017 0:00,47.17,2/13/2017 0:00,47.76,-5900,46.47,48.63
58,59,Buy,2/13/2017 0:00,47.76,3/3/2017 0:00,47.77,100,48.63,47.02
59,60,Short,3/3/2017 0:00,47.77,4/3/2017 0:00,44.19,35800,47.02,44.64
60,61,Buy,4/3/2017 0:00,44.19,4/21/2017 0:00,43.11,-10800,44.64,44.2
61,62,Short,4/21/2017 0:00,43.11,5/18/2017 0:00,42.81,3000,44.2,42.4
62,63,Buy,5/18/2017 0:00,42.81,6/1/2017 0:00,41.51,-13000,42.4,41.78
63,64,Short,6/1/2017 0:00,41.51,7/3/2017 0:00,40,15100,41.78,39.21
64,65,Buy,7/3/2017 0:00,40,8/15/2017 0:00,40.27,2700,39.21,40.21
65,66,Short,8/15/2017 0:00,40.27,9/6/2017 0:00,41.73,-14600,40.21,41.16
66,67,Buy,9/6/2017 0:00,41.73,10/6/2017 0:00,41.31,-4200,41.16,42.77
67,68,Short,10/6/2017 0:00,41.31,10/13/2017 0:00,43.47,-21600,42.77,42.75
68,69,Buy,10/13/2017 0:00,43.47,12/7/2017 0:00,48.29,48200,42.75,47.6
69,70,Short,12/7/2017 0:00,48.29,12/11/2017 0:00,49.59,-13000,47.6,48.85
70,71,Buy,12/11/2017 0:00,49.59,12/14/2017 0:00,48.64,-9500,48.85,48.3
71,72,Short,12/14/2017 0:00,48.64,12/19/2017 0:00,49.12,-4800,48.3,48.9
72,73,Buy,12/19/2017 0:00,49.12,2/7/2018 0:00,53.4,42800,48.9,55.53
73,74,Short,2/7/2018 0:00,53.4,2/26/2018 0:00,55.69,-22900,55.53,55.38
74,75,Buy,2/26/2018 0:00,55.69,3/2/2018 0:00,53.03,-26600,55.38,53.12
75,76,Short,3/2/2018 0:00,53.03,3/6/2018 0:00,54.38,-13500,53.12,54.36
76,77,Buy,3/6/2018 0:00,54.38,3/8/2018 0:00,51.9,-24800,54.36,53.11
77,78,Short,3/8/2018 0:00,51.9,3/20/2018 0:00,55.26,-33600,53.11,53.92
78,79,Buy,3/20/2018 0:00,55.26,4/6/2018 0:00,53.78,-14800,53.92,55.42
79,80,Short,4/6/2018 0:00,53.78,4/11/2018 0:00,58.54,-47600,55.42,57.31
80,81,Buy,4/11/2018 0:00,58.54,5/29/2018 0:00,58.38,-1600,57.31,59.2
81,82,Short,5/29/2018 0:00,58.38,6/25/2018 0:00,59.94,-15600,59.2,60.61
82,83,Buy,6/25/2018 0:00,59.94,7/16/2018 0:00,59.92,-200,60.61,62.38
83,84,Short,7/16/2018 0:00,59.92,7/31/2018 0:00,61.54,-16200,62.38,62.83
84,85,Buy,7/31/2018 0:00,61.54,8/1/2018 0:00,60.44,-11000,62.83,61.21
85,86,Short,8/1/2018 0:00,60.44,8/24/2018 0:00,62.08,-16400,61.21,61.26
86,87,Buy,8/24/2018 0:00,62.08,10/12/2018 0:00,64.93,28500,61.26,64.58
87,88,Short,10/12/2018 0:00,64.93,1/8/2019 0:00,42.96,219700,64.58,41.91
88,89,Buy,1/8/2019 0:00,42.96,2/11/2019 0:00,45.35,23900,41.91,45.6
89,90,Short,2/11/2019 0:00,45.35,2/13/2019 0:00,46.84,-14900,45.6,46.29
90,91,Buy,2/13/2019 0:00,46.84,5/1/2019 0:00,55.74,89000,46.29,55.54
91,92,Short,5/1/2019 0:00,55.74,5/20/2019 0:00,55.16,5800,55.54,55.04
92,93,Buy,5/20/2019 0:00,55.16,5/23/2019 0:00,49.86,-53000,55.04,53.26
93,94,Short,5/23/2019 0:00,49.86,6/21/2019 0:00,49.14,7200,53.26,48.97
94,95,Buy,6/21/2019 0:00,49.14,7/18/2019 0:00,46.99,-21500,48.97,48.29
95,96,Short,7/18/2019 0:00,46.99,8/20/2019 0:00,47.75,-7600,48.29,47.75
96,97,Buy,8/20/2019 0:00,47.75,8/26/2019 0:00,45.26,-24900,47.75,44.87
97,98,Short,8/26/2019 0:00,45.26,8/29/2019 0:00,48.33,-30700,44.87,47.5
98,99,Buy,8/29/2019 0:00,48.33,9/4/2019 0:00,47.88,-4500,47.5,45.54
99,100,Short,9/4/2019 0:00,47.88,9/5/2019 0:00,47.92,-400,45.54,47.57
100,101,Buy,9/5/2019 0:00,47.92,9/26/2019 0:00,48.27,3500,47.57,48.55
101,102,Short,9/26/2019 0:00,48.27,10/23/2019 0:00,47.73,5400,48.55,46.06
102,103,Buy,10/23/2019 0:00,47.73,12/2/2019 0:00,47.61,-1200,46.06,47.12
103,104,Short,12/2/2019 0:00,47.61,12/5/2019 0:00,50.08,-24700,47.12,50.01
104,105,Buy,12/5/2019 0:00,50.08,1/10/2020 0:00,50.76,6800,50.01,51.33
105,106,Short,1/10/2020 0:00,50.76,2/20/2020 0:00,45.32,54400,51.33,45.14
106,107,Buy,2/20/2020 0:00,45.32,2/25/2020 0:00,41.34,-39800,45.14,42.81
107,108,Short,2/25/2020 0:00,41.34,5/6/2020 0:00,9.39,319500,42.81,10.92
108,109,Buy,5/6/2020 0:00,9.39,7/31/2020 0:00,24.94,155500,10.92,25.01
109,110,Short,7/31/2020 0:00,24.94,8/5/2020 0:00,26.86,-19200,25.01,26.23
110,111,Buy,8/5/2020 0:00,26.86,9/3/2020 0:00,25.76,-11000,26.23,26.02
111,112,Short,9/3/2020 0:00,25.76,9/28/2020 0:00,24.74,10200,26.02,24.21
112,113,Buy,9/28/2020 0:00,24.74,9/30/2020 0:00,24.36,-3800,24.21,23.3
113,114,Short,9/30/2020 0:00,24.36,10/8/2020 0:00,25.33,-9700,23.3,24.13
114,115,Buy,10/8/2020 0:00,25.33,10/26/2020 0:00,22.42,-29100,24.13,23.55
115,116,Short,10/26/2020 0:00,22.42,11/10/2020 0:00,25.22,-28000,23.55,23.77
116,117,Buy,11/10/2020 0:00,25.22,3/19/2021 0:00,44.77,195500,23.77,42.98
117,118,Short,3/19/2021 0:00,44.77,4/15/2021 0:00,46.79,-20200,42.98,46.16
118,119,Buy,4/15/2021 0:00,46.79,5/20/2021 0:00,45.21,-15800,46.16,46.62
119,120,Short,5/20/2021 0:00,45.21,5/25/2021 0:00,49.34,-41300,46.62,49.29
120,121,Buy,5/25/2021 0:00,49.34,7/16/2021 0:00,55.36,60200,49.29,55.01
121,122,Short,7/16/2021 0:00,55.36,7/29/2021 0:00,57.42,-20600,55.01,56.2
122,123,Buy,7/29/2021 0:00,57.42,8/4/2021 0:00,51.95,-54700,56.2,54.12
123,124,Short,8/4/2021 0:00,51.95,8/30/2021 0:00,53.26,-13100,54.12,53.35
124,125,Buy,8/30/2021 0:00,53.26,11/5/2021 0:00,66.11,128500,53.35,64.21
125,126,Short,11/5/2021 0:00,66.11,11/10/2021 0:00,66.18,-700,64.21,69.37
126,127,Buy,11/10/2021 0:00,66.18,11/12/2021 0:00,65.63,-5500,69.37,66.05
127,128,Short,11/12/2021 0:00,65.63,12/23/2021 0:00,59.86,57700,66.05,59.1
128,129,Buy,12/23/2021 0:00,59.86,3/16/2022 0:00,83.46,236000,59.1,83.65
129,130,Short,3/16/2022 0:00,83.46,3/22/2022 0:00,99.02,-155600,83.65,100.66
130,131,Buy,3/22/2022 0:00,99.02,4/1/2022 0:00,89.02,-100000,100.66,90.98
131,132,Short,4/1/2022 0:00,89.02,4/18/2022 0:00,97.93,-89100,90.98,96.78
132,133,Buy,4/18/2022 0:00,97.93,4/26/2022 0:00,92.02,-59100,96.78,88.96
133,134,Short,4/26/2022 0:00,92.02,4/29/2022 0:00,95.01,-29900,88.96,95.49
134,135,Buy,4/29/2022 0:00,95.01,6/21/2022 0:00,104.83,98200,95.49,104.06
135,136,Short,6/21/2022 0:00,104.83,8/24/2022 0:00,93.64,111900,104.06,92.53
136,137,Buy,8/24/2022 0:00,93.64,9/1/2022 0:00,85.36,-82800,92.53,87.58
137,138,Short,9/1/2022 0:00,85.36,10/5/2022 0:00,86.96,-16000,87.58,85.57
138,139,Buy,10/5/2022 0:00,86.96,10/19/2022 0:00,84.65,-23100,85.57,83.04
139,140,Short,10/19/2022 0:00,84.65,10/27/2022 0:00,89.21,-45600,83.04,88.39
140,141,Buy,10/27/2022 0:00,89.21,11/15/2022 0:00,87.05,-21600,88.39,85.38
141,142,Short,11/15/2022 0:00,87.05,12/22/2022 0:00,78.17,88800,85.38,79.11
142,143,Buy,12/22/2022 0:00,78.17,1/5/2023 0:00,74.35,-38200,79.11,73.93
143,144,Short,1/5/2023 0:00,74.35,1/13/2023 0:00,80.54,-61900,73.93,79
144,145,Buy,1/13/2023 0:00,80.54,2/1/2023 0:00,76.82,-37200,79,79.47
145,146,Short,2/1/2023 0:00,76.82,2/13/2023 0:00,80.55,-37300,79.47,80.35
146,147,Buy,2/13/2023 0:00,80.55,2/20/2023 0:00,77.58,-29700,80.35,
147,148,Short,2/20/2023 0:00,77.58,3/3/2023 0:00,79.85,-22700,,78.06
148,149,Buy,3/3/2023 0:00,79.85,3/10/2023 0:00,76.85,-30000,78.06,75.82
